"complaint","category"
"dengan hormat,
dengan adanya perkembangan akan kemudahan dan  kepraktisan pemakaian alat penampung kotoran sementara ( pembalut wanita, popok untuk anak-anak, dewasa (pamsper))  maka akan berakibat pada limbah pembalut,popok yang mana bahan yang digunakan adalah bahan yang susah diurai/hancur dalam jangka lama. dengan semakin banyaknya pemakaian pembalut, popok akan berdampak banyaknya limbah bahan tersebut. dan sekarang limbah tersebut banyk dibuang ke sungai dan saluran irigasi yang berdampak pada pencemaran lingkungan dan mengganggu saluran irigasi. dari fakta dilapangan masih banyak warga yang membuang barang tersebut bukan pada tempatnya yaitu tempat sampah ,tetapi dibuang  ke saluran irigasi yang berakibat mengganggu kelancaran saluran untuk irigasi sawah dan bahan tersebut belum tentu 10 tahun terurai, untuk itu kami mengusulkan kepada kementrian lh untuk membuat aturan yaitu untuk dikenakan  pungutan untuk setiap produk yang dihasilkaan dari produsen popok, pembalut yang mana dana tersebut akan digunakan untuk pengolahan bahan-bahan yang dihasilkan, sehingga ada kepedulian kepada lingkungan kepada produsen barang tersebu.
demikian usulan kami,semoga bisa bermanfaat untuk penyelamatan lingkungan kita. wassalammualaikum wr. wb.
suranto,s.si",sampah
"masyarakat purba saribu tolak penyadapan getah pinus di sigiring-giring, terjadi perusakan pohon pinus di hutan negara haranggaol, dari keterangan salah seorang pekerja penderes getah yang berasal dari pulau jawa mengatakan kalau mereka disuruh seseorang dan kegiatan sudah memiliki ijin dari dinas kehutanan provinsi sumatera utara. kami mohon untuk bapak ibu yg kami hormati tolong di usut tuntas oknum tersebut sebab kehidupan kami tergantung hutan kami, air untuk minum kami berasal dari hutan tersebut dan loasi perkampungan kami berada tepat di bawah kaki gunung tersebut , kami takut nanti akan terjadi bencana jika terus menerus dilakukan penyadapan secara besar besaran.",polusi
salah satu kantor kementerian yang paling bagus menurut saya... masih ada area hijaunya banyak pepohonan tinggi (yang saya kira sedang ada di kebun raya bogor :d) dan ada kolam buatan yang teduh walaupun hari sedang panas2nya .. didalam ada aula besar yang bisa dipakai untuk kegiatan oleh orang umum... terpenting tempat parkir luaaass sehingga tdk perlu kuatir yang kesini membawa kendaraan.,hutan
"kantor kementerian klhk wanabakti jakarta pusat sungguh sangat dibanggakan dan sukses selalu buat bu menteri klhk , mengabulkan permohonan pengajuan usulan izin iuphkm dan iuphhtr  nyata untuk rakyat indonesia serta mengentaskan & mensejahterakan masyarakat indonesia. sungguh sangat dibanggakan oleh pemohon koperasi dan kelompok tani. terima kasih kepada ibu menteri klhk.",others
tersedia bank bni. untuk parkir mobil di gedung klhk tidak memadai. di anjurkan untuk loss jgn pake rem tangan kalo tidak mau di infoin terus untuk memindahkan mobil'nya,others
"lingkungannya sesuai dengan tupoksinya departemen lingkungan hidup, dimana banyak pepohonan rindang dari berbagai jenis yg ditanam, sehingga menjadikannya menjadi pelopor untuk mengkampanyekan lingkungan hidup yang  hijau segar dan menghasilkan oksigen.",hutan
yth.ibu mentri dan beserta staf dan jajaranya di tempat.saya mohon bantuan dan petunjuk agar kiranya bisa membantu permasalahan yg sedang mertua saya hadapi masalah pengurusan surat tanah yg di klem oleh perusahan sawit pt.kma di kalteng.,layanan
"yth menteri lingkungan hidup.
baserta jajarannya
mungkin saya salah alamat.mengirimkan foto-foto fakta yng saya lihat sesekali. dan memang saya orang dari daerah kel.kismoyoso-kec.ngemplak sawahan- boyolali. tetapi terus saya mengadu ke siapa lagi. melihat kondisi ini. kepresiden??? rasanya terlalu lancang saya. faktanya hampir 20th kali jampen pembatas kismoyoso dan pandeyan itu telah memakan tanah kan desa kismoyoso dan kebun warga. hampir 1000m panjang gerusan sungai itu. lha pora mesakne pean warga yang punya kebun hanya bisa mlongo. maklum wong ndeso gak tau mau ngadu ke siapa. termasuk jalur irigasi aktif dari jaman londo depan sma1 donohudan dan sepanjang desa brogo. banyak di tutup warga. karena tidak tau dan di biarkan tidak di arahkan dalam proses membangun. semestinya di pinggir kali itu di buat jalan inspeksi. 5m. baru boleh membangun. tidak semua kebun yng dulunya masih luas di kapling2 teruk buat jembatan menutup kali. ini tidak akan terjadi bila dinas tatakota kabupaten melihat-berfikir 100 tahun kedepan. masak kalah dengan londo si penjajah. menata blok sawah ladang kebun  dengan ilmu---->ini jaman merdeka lhuuur? yok opo terlalu merdeka kah kita?????-semua yng baca jangan sakit hati saya bicara koment. yng jelas simbah2 tidak pernah meninggalkan masyalah permukiman untuk kita---apakah kita mau di caci maki anak cucu karena pembiayaran demi pembiayan sehingga 100th yng akan datang anak cucu ribut banjir-ribut macet-ribut limbah dll???monggo di pikir.
terima kasih.",limbah
"bikin perubahan persetujuan lingkungan dari januari 22 sampai sekarang ga terbit juga, persyaratan dan kelengkapan dokumen sudah benar",others
"bagi yang mau mengurus ijin terkait lingkungan hidup, seperti ijin pemanfaatan limbah b3 bisa ke upt gedung b lt. 1",limbah
sampah dan hutan harus berkolaborasi gerakkan sampah organik dalam rangka pelestarian hutan. masalah sampah teratasi masalah hutan terkurangi.,sampah
"berada di kompleks manggala wanabhakti yang areanya luas, banyak pepohonan. petugas satpam bisa membantu mencarikan taxi.",sampah
tolong donk galian tanah urugan di jl.maja cilayang kec.curugbitung lebak banten.. di hentikan.. galian itu di sisi jalan raya.. kalo hujan licin banyak jurang,fasilitas umum
"alamat sekarang di mana ya,
saya kirim dokumen neraca limbah ke di panjaitan kav 24 kebon nanas, ternyata alamat pindah,.. mohon info nya",limbah
pemasangan balon udara festival iklim 2018 tiga tahun pencapaian pengendalian iklim,polusi
"tempat pkl periode mei s.d. juli 2016 smk paramarta.
kalau mau nyari tempat prakerin, ke blok 7 lt. 8 (pusluh) atau lt. 13nya (karhutla)",others
"semoga pegawai negeri d sini bekerja dengan baik dan benar sesuai aturannya.
menjaga hutan ,,dan tidak di jadikan sebagai pusat bisnis,,jgn di korupsi",hutan
salah satu bag pemerintah yg mengurus lingk dan hutan2 kita agar lestari dan berdaya guna,hutan
pertama kali datang ke sini pda tgl 11-12 sept 2019 dalam kegiatan evaluasi proper senang karena dilayani dengan baik.,others
"pelayanan cukup bagus, sayangnya masjid ma parkiran mobil masih perlu d perluas 😀 …",layanan
"tidak ada respon atas pertanyaan saya di official whats app, email, maupun instagram (dm). di telepon  tdk ada yang menjawab.",others
"tempat favorit (kebanyakan kolega saya) untuk menikahkan anak nya, di aula rimbawan",others
"kantor klhk ada 2 :
1. kebon nanas (dulu : kantor kementerian lingkungan hidup)
2. gedung manggala (dulu : kantor kementerian kehutanan)",hutan
penggunaan air dari kawasan cagar alam papandayan untuk komersil di darajat kecamatan pasirwangi kabupaten garut jawa barat dibiarkan,polusi
"asri, petunjuk jalan jelas, masjidnya bagus. banyak pohon, plaza, tempat parkirnya bagus. 💯💯 …",hutan
kementrian yg urusi ttg lingkungan disemua aspek dalam negeri &  smg tetap semngat,others
"lancar via toll bandara, kalau dari tangerang, di klh juga lancar dan cepat pelayanannya",layanan
nelfon kesini berkali kali jawabannya tidak menjawab terus. mohon ditingkatkan lagi bagian customer servicenya,others
"aku suka banget sama pulau inilah banget !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ,😘😘😘😘😘😘😘😘 …",others
"orang-orang yang sangat sangat korup dan lamban. mereka mengirimi anda dari satu departemen ke departemen lain (meminta uang jika anda ingin uang muka). ini adalah kantor paling mengerikan yang pernah saya kunjungi. mereka tidak proffesional (tidak profesional) dan bahkan tidak berpakaian pantas untuk bekerja. mereka semua memakai sendal jepit, dan tidak mementingkan kemajuan. pemikiran lama, mentalitas lama. salah satunya:(haryanto n ida l pusdiklat kehutanan klhk gunung batu ciomas jl suren no 5a bogor)",hutan
"kebanyakan staf korup dan tidak profesional. mereka bahkan tidak memakai sepatu, malah berjalan-jalan dengan memakai sandal. staf yang malas dan tidak membantu. dan yang mereka lakukan hanyalah membuat anda lelah dengan tidak melakukan tugasnya karena tidak terkoordinasi dengan baik. mereka meminta uang di muka tanpa rasa malu. kantor ini sejauh ini adalah salah satu kantor terburuk yang pernah saya tangani. hindari jebakan korup ini! siap2 di pingpong disini. tolong pecat semua dan rubah pola pikiran terhadap kementerian lingkungan hidup. sangat malu menjadi wni dengan adanya kantor ini!",fasilitas umum
kantor pemerintah untuk pengelolaan kehutanan dan lingkungan hidup. tempat penting dan layanan bermanfaat. namun permasalahan hutan dan lingkungan hidup di indonesia masih terlalu banyak.,hutan
gedung perkantoran tua yang tidak dirawat dengan baik tetapi tempat ini sangat besar dan hijau. ini adalah taman botani kecil di jantung kota.,others
"hallo assalamu'alaikum min, ini lampu jalan di depan stadion maguwoharjo sleman yogyakarta mau putus bahaya banget kalo kena pengendara apalagi anak kecil, lampu jalan juga mati semua membahayakan sepeda motor yang ga pake lampu, segera di perbaiki min sebelum ada korban jiwa makasih🙏🙏🙏 …",fasilitas umum
pembakaran sampah dan pengolahan sampah di kampung saya pare 4 sidorejo godean sleman jaraknya hanya 15-20 meter dari pemukiman warga mohon di tindak dan di tutup karena setiap hari bakar sampah dan asapnya ke rumah warga hingga menyebabkan batuk2 dan sesak nafas,sampah
"mohon maaf mau melaporkan di sebelah timur p4an monjali ada pohon besar besar dipinggir jalan berjumlah 3, karena sangat berbahaya jika sewaktu tumbang. mohon untuk segera ditindak lanjut untuk segera di potong, terima kasih",hutan
"pengalaman saat sidang ka-amdal disini, staff (dlh)nya ramah-ramah.. masukannya cukup membangun, solutif, dan tidak terkesan membantai / menggurui.
sayang ruang parkir disini sangat sempit. jadi ketika ada sidang2, beberapa kendaraan harus parkir diluar",others
"selamat siang
mohon dibantu dan ditindaklanjuti beberapa pohon di lingkungan kami sudah melampaui kabel² dan bisa membahayakan
dan sekarang sudah masuk musim penghujan
lokasi : jln tantular 405 pringwulung condongcatur ( depan rumah nomer 405 dan 407 )
matur nuwun",hutan
mohon ijin. disebelah rumah kami ada ush pembersian limbah usus ayam dn pembuangan nya  hanya dri satu kolam dn langsung di buang  di kalen kecil dn menimbulkan  bau busuk pemilik ush sudah di beri tahu tapi masi ngeyel  . mau laporan  sama kepala dukuh . pak dukuh punya usaha keripik usus  yg bahan nya ambil di tempt tersebut . jadi km sebagai warga hrs laporan dimana y mohon oetujuk nya,limbah
"mohon bantuan ,daerah kami kena wabah sesak nafas  bau limbah bangkai ayam utk pakan di kolam perikanan.  kami sudah protes ke pemilik perikanan tapi tidak di gubris dengan alasan ""itu mata pencarian utk kehidupan mereka"". sedangkan kami warga sekitar ,tiap hari harus menahan nafas. kita harus bagaimana agar segera ada tindakan dari pusat. benar2 realita yg sangat memprihatinkan & tak berprikemanusiaan.",limbah
"tempat saya tinggal bau limbah bangkai untuk pakan ikan ,baunya bikin sesak nafas ,pusing ,mual ,vertigo. monggo pihak dinas segera bertindak karena yang punya perikanan mengabaikan protes kami dan tdk mengubris omongan kami.",limbah
"tukang sapu dan yg ngambil sampah yg skg ternyata ganti toh, mending yg kmren2 itu kinerjanya bagus, nyapunya bersih, dan ngambilin sampahnya jg bersih..yg skg2 ini rese2, mana nyapunya asal2an apalagi yg ngambilin sampah, sok banget gila, ngambilin sampah gak semua diambilin...gw sebar dijalan baru tau rasa lo..diingetin tu pak anak buahnya biar gak makan gaji buta..nyapu gak bener ..sop nya gimana sih",sampah
"tempat pengurusan izin yg berkaitan dengan lingkungan hidup, pelayananya ramah dan memuaskan",layanan
"selamat malam. seminggu yll daerah prambanan ditimpa badai besar. menyebabkan pohon2 besar pada tumbang dan merugikan masyarakat. mohon dinas lingkungan memangkas pohon besar2 dan diberi peremajaan pohon. karena jika dari pihak kami mau lapor, biorokrasi berbelit2 selak ada pohon tumbang lagi. kenapa tidak pernah ada tindakan memangkas pohon secara rutin.",hutan
"pengurusan perizinan tidak pernah semenyenangkan ini. tiap laporan perizinan diperiksa secara detail dan seksama, sehingga mempermudah untuk membuat izin kembali di waktu-waktu yang akan datang. dibimbing benar-benar sampai selesai, serasa mengerjakan skripsi kembali, tapi hasilnya sungguh memuaskan.",others
"telp untuk pengaduan pencemaran udara ,tpi gak ada respon. sebnrnya kerjanya pda ngapain ya??? cmn telp aja gak diangkat apalagi klo datang lsg psti hrs ada syarat2 yg bikin ribet. bru pandemi byk masyarakat yg isoman ehhh...tiap mlm ada yg bakar2, asap bikin sesak nafas sdh pernah ditegur tapi diulangi lgi. klo pagi - sore limbah bangkai pakan ikan. lgkp dech nasib jdi warga sleman bnr2 gak ada aparat yg peduli sama masyarakat. jdi binggung harus laporan kemana?????",limbah
"mohon bantuan,
tempat kami bising dan terganggu debu,
dari penggilingan padi ditengah pemukiman warga",polusi
ikut kegiatan dari dinas lingkungan hidup. suguhan snacknya pake tempat yg ramah linggkungan dan tanpa plastik. salut deh buat dinas lingkungan hidup. untuk lokasi ada disebelah timur catatan sipil jadi gampang dicari. kalau mau mengajukan yang berhubungan dengan lingkungan bisa langau g kirim proposal kesini ya gaes.,others
"baru 3 hari pengaduan langsung dikerjakan penebangan pohonnya.
sipp banget penanganannya.
via dm instagram pemkab sleman ditindaklanjuti ke pihak dlh.
terimakasih pak/bu.",hutan
"pelayanan baik dan ramah ,
datang ke kantor ini untuk revisi ukl upl berkaitan dengan perizinan perusahaan yang akan diajukan,
menerapkan standard protokol kesehatan yang ketat dalam masa pandemi ini,
semua penjelasan tentang segala persyaratan dijelaskan secara jelas dan detail sehingga memudahkan kita dalam kepengurusan segala perizinan yang berkaitan dengan dinas lingkungan hidup.",fasilitas umum
bagaimana sop/cara kerja petugas pemangkas pohon perindang pinggir jalan? kok dilompat-lompat,hutan
"kantor lingkungan hidup sleman, yg lalu berubah menjadi badan lingkungan hidup dan awal tahun 2017 berubah menjadi dinas lingkungan hidup kabupaten sleman.",others
monitor kepala dinas kebersihan lingkungan sleman....mohon jawaban terkait angkutan sampah di madurejo prambanan sleman,sampah
"terbakarnya pohon pemerintah jalan lingkar, monjali buooss, jaga dirimu. menunggu amanah dlh untuk bersih 🤪 …",hutan
"pelayanan saat masa saya penelitian di dlh cukup memuaskan, ditambah merasakan gedung yang baru di renovasi, trimakasih dlh kota yogyakarta terkhusus  seksi pengelolaan rthp yang sudah saya repotkan dan banyak membantu selama masa penelitian, dan telah membantu memberikan data dan informasi untuk penyelesaian skripsi saya🙏 …",layanan
apa benar ini dari dinas lingkungan hidup? soal nya di deretan ruko saya yang di tarik retribusi seperti itu hanya tempat saya saja . saya sudah konfrimasi di keamanan sini dan memang tetangga toko tidak ada yang di tarik i retribusi dari dinas lingkungan hidup .mohon untuk penjelasan lebih lanjut  karena itu sudah tercap dinas lingkungan hidup . mohon untuk penjelasan dan kebijakan lebih lanjut 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,fasilitas umum
maaf mau tanya cara mendapatkan surat rekomendasi untuk tpa atau tempat pembuangan akhir itu srperri apa,sampah
"berada satu area dan satu parkiran dengan inspektorat daerah, jadi kalau baru pertama masuk, harus tanya-tanya dulu mana yang gedung dinas lingkungan hidup dan mana gedung inspektorat daerah. lokasinya berbeda dengan dinas lain karena harus sedikit masuk gang, kalau parkiran di dalam penuh mau ga mau parkir di pinggir gang itu sehingga mobil berdampingan dengan gerobak angkringan. pelayanannya cukup ramah dan profesional.",layanan
"tempatnya rapi, tp nyempil dan keliatan sempit.
dari segi pelayanan oke banget, petugasnya ramah dan cekatan",layanan
mengawasi segala dampak lingkungan atas aktivitas manusia. semoga dapat meminimalkan dampak negatifnya.,others
dalam penyusunan laporan dokumen ukl-upl dibantu sepenuhnya berupa bimbingan & saran agar lebih baik..,others
"dinas lingkungan hidup kabupaten bantul bekerjasama dengan jpsm amor bantul dalam penanganan persampahan dan lingkungan, sosialisasi program kampung hijau, rakerda jpsm, dll.",sampah
"assalamualaikum mba/mas yg bertugas sebagai bidang kesehatan dan lingkungan,mohon bantu saya,saya punya tetangga samping kanan kiri dan belakang mereka memelihara banyak binatang monyet,anjing,kucing,bebek,banyak burung merpati,sering mengotori rumah dan atap rumah kami dengan bulu bulu dan kotoran sampai mengotori jemuran ,kekamar mandi dan dapur,bau kotoran pagi siang malam menyengat hidung ,mereka klo menjemur burung burung juga ditembok kamar mandi rumah kami,mertua saya hanya diam karena merasa tidak enak klo menegur,tapi diam saja  mereka tak tau diri,suami punya riwayat asma,kami sering gatal gatal setiap hari saya jg badan lemah gampang sering sakit terus,bayi kami  juga sering flu badan gatal gatal,kami keluarga miskin,mertua tidak mau menegur alasan karena klo idul fitri suka dikasih uang oleh keluarga itu,, mohon bantuan nya agar bapak/ibu membantu meninjau tempat kami,sepanjang jalan sawit  banyak juga yang buang sampah sembarangan,bau kotoran kucing  anjing dan hewan hewan peliharaan serta sampah jadi kumuh kotor dan jijik  membuat mual kami sering sakit
salam hormat terima kasih
alamat saya :
jl sawit rt 01 timur pasar niten
rumah : bapak junaidi
sewon bantul panggungharjo",sampah
"tempat birokrasi satu komplek dari kabupaten bantul, inovasi yang sangat keren.
saya ke dinas lingkungan hidup dan ngerasa tempatnya sangat asri dan nyaman. banyak inovasi inovasi di dalamnya seperti ruang untuk anak, tempat sampah yang unik dsb.
pelayanan juga saya bilang sangat ramah dan baik.
terima kasih pemkab bantul.",sampah
"di sisi selatan perempatan jl wonosari ketandan dari arah timur ke barat, terdapat sungai dan rumput2 liar, disisi sungai banyak yang membuang sampah sembarangan disana. saya rasa itu cukup mengganggu terlebih letaknya dekat dengan perempatan lampu merah, banyak kendaraan yang lalu lalang, semoga laporan saya ini mendapat tanggapan. terima kasih",sampah
"sblh timur rmh sakit uii bantul ada pohon tua besar & sdh mati dipinggir jln, sangat membahayakan. mhn ditindaklanjuti instansi terkait, trims",hutan
"klo hujan deres suka kebanjiran,  entah gimana perencanaan bangunannya. sama sekali tidak mencerminkan kaidah green building. mungkin pimpinan - pimpinannya memang kurang berwawasan lingkungan. gimana mau dapet adipura?",others
"orang2nya baik, kalau ada keperluan berupa data bisa langsung dikasih atau dikirim lewat email",others
"pelayanan publik yang baik, lokasi strategis di pinggir jalan, dekat kantor polisi.",fasilitas umum
pelayanannya baik dan lokasi mudah dijangkau namun lalu lintas kendaraan kencang sehingga harus hati-hati kalau mau belok ke sini,layanan
"gedung baru yang megah dan indah. lingkungannya juga asri, dan yang jelas siap melayani masyarakat dengan ramah.",others
"dinas lingkungan hidup ini bangunannya baru. dan terlihat bagus dan bersih.
pas tadi saya lewat sedang dibersihakan.
bangunan ini terletak di pinggir jalan kalau dari jogja terletak di kanan jalan menuju wonosari kota, tepatnya sebelum pom bensin siyono.
jalan menuju tempat tersebut sudah aspal dan bagus, karena masih satu area dan masuk jalan nasional iii.
kebetulan belum sempat masuk hanya memfoto bagian depan saja.
semoga ulasan ini memberikan manfaat.
salam local guide jogja
#letsguide",fasilitas umum
apakah ada nomor telepon lain atau hotline wa yg bisa dihubungi? nomor yang tertera sudah tidak bisa dihubungi. mohon informasinya. terimakasih,others
"indeks kualitas lingkungan hidup (iklh) dg indikator kualitas air, udara dan lahan",polusi
"masuk disambut sapa senyum dan salam. kantor bersih dan hijau, indah dipandang dan segar. selaras dengan namanya kantor lingkungan hidup.",others
terlalu bnyk smpah didki jakarta (kpn bersihnya jakarta klu tkng smpah malas msh di kerjakan dn rt ga pernah kontrol warga msh digaji mkn gaji buta th rt 005 /rw 001)hmbau cpt dong pak orng seperti itu,limbah
"tempat pusatnya sudin lingkungan hidup jakarta barat, tempat e-waste jakarta barat",others
suku dinas kebersihan dinas lingkungan hidup dki jakarta bekerja profesional dalam menangani berbagai masalah kebersihan sampah di kali maupun sampah darat..semua dikerjakan dengan semangat bahwa jakarta harus bebas dari masalah sampah yang banyak di hasilkan dari berbagai macam kegiatan dijakarta harus dapat dibersihkan dan dapat dikelola dengan sebaik2nya..sehingga jakarta bebas dari sampah yg dapat menyebabkan polusi dan banjir.,sampah
"gmn mau bersih,ini petugas kebersihan jm segini 07:30 aja udh nongkrong. bukan nya kerja bersihin jalan.
makan gaji buta nih,umr pula",fasilitas umum
"quick reponse from pak lurah tanjung duren selatan , kec. grogol petamburan.
good job bpk with team. god bless you and team. keep spirit.
semoga jakarta tetap jaya.",others
di jl ambon rt 008 /02 crngkareng timur banyak truk sampah yang bermuatan penuh sampah dan mengeluarkan bau busuk,sampah
ga sigap kayak jaman ahok. petugas kurang bersih nih dalam bertugas. kl dikasih tahu malah ngeles.,others
"per tanggal 27 sept 2024: kantor sudin lingkungan hidup jakut lagi direnovasi, dan dipindah sementara ke kantor walikota jakarta utara lt.8.",others
tolong di perhatikan dinas kebersihan kecamatan tj priok agar mengontrol petugas ppsu di lingkungan kelurahan warakas..krn kami pernah memberitahukan adanya sampah di selokan lingkungan kami ke petugas ppsu.. tetapi oleh mereka malah di diamkan dan tidak di ambil tindakan..apakah begini cara kerja ppsu yg gaji nya sesuai umr jakarta? dan banyak petugas ppsu terutama diingkungan warakas banyak yg bekerja malas2an terutama pada jam krja..harap jajaran suku dinas kebersihan kecamatan tj priok turun ke lapangan agar mengontrol petugas ppsu nya..krn mereka kan di gaji dr uag rakyat juga.. terimakasih!,sampah
memberi manfaat kepada semua orang sekecil apapun yang bisa saya lakukan untuk kelangsungan hidup sekarang dan masa depan dengan mengedukasi lewat seni kreasi daur ulang di chanel sutrisno art galery saya bangga dan bisa berkontribusi yang terbaik untuk semua masyarakat . semoga chanel kami berkembang lebih baik dan bermanfaat .,others
"assalamu'alaikum selamat pagi, kami warga akan melaporkan masalah bak sampah yg ada di dpn sdn o7 pagi cilincing jkt utara, bak sampah rusak dah diambil tp lom ada ganti ny bpk /ibu kami mohon di segerakan ganti karna sampah berserakan /berterbangan bpk /ibu trimakasih atas",sampah
"tolong satpamnya diedukasi komunikasi yang baik dalam layanan publik.terutama satpam di gerbang sebaiknya sopan dalam bicara dan tidak arogansi.
mohon ditindaklanjuti segera agar tidak ada lagi masyarakat yg diperlakukan tidak baik oleh satpam tsb.
terimakasih",sampah
saya merasa dirugikan oleh pekerja ppsu kel.sukapura...oleh pak mul orang gg swadaya ...udah saya kasih uang sampah saya ngga pernah diangkut2....kalau dibilangin sok jagoan,sampah
"dinas yang menangani permasalahan lingk , limbah kota ( sampah) dan sejenis. juga ttg sampah, angkutan sampah , adipura dll",sampah
"kami ingin bertanja,apakah bisa di setiap rusun semi apartemant itu ada fasum dan dana cadangan yg di bebani kepada penghuni ya ak",others
"kami siap suplai utk kebutuhan sapu aren, sapu taman lainya dgn harga yg kompetitif",others
kalau mau lapor tindak penipuan oleh oknum pegawai bisa langsung kesini tidak yah?,others
sosialisasi bank sampah sudin jakarta utara dihadiri dari bank dki dan pt danone...,sampah
sistem penguploadan berkas pjlp baru 2022 sangat buruk tidak bisa upload berkas sama sekali tolong di benahi terima kasih,others
jdi inget jaman dlu...wrkop klw untar anter naik turun....klw buka lg warkop gmn ya menu nya kue pancong...pertama berdiri kan menu nya kue pancong...,others
"saya ingin telpon karena keluhan yang ingin di sampaikan, selama berhari hari di telpon, tidak pernah diangkat. mohon responnya",others
"kantor blh kabupaten probolinggo, dekat dengan masjid agung kraksaan dan alun-alun",others
"kantor ini menangani permasalahan sampah dan lingkungan hidup di situbondo. penyapu jalan adalah bagian dari kantor ini. mereka juga bertanggung jawab untuk menyelenggarakan acara tahunan public's green awards, yang mana setiap komunitas, sekolah, badan pemerintah, dan sektor swasta bersaing dalam kontribusi mereka dalam kebijakan pro-hijau.",sampah
dari depan bangunan tampak bagus tapi jika masuk akan terlihat bahwa bangunan tidak dirawat. pegawai ramah. tempat parkir luas,others
"instasi pemerintah palik buruk
pertama kali datang ke dinas lingkungan hidup jember. pelayanan tidak baik, orang tidak di layani, tidak jelas semua.  lelet kesal bangat 1 jam nunggu gk di layan. perlu evaluasi sama pihak terkait.",layanan
"salah satu instansi pemerintah yg sangat ramah, pelayanannya baik dan memuaskan, sangat kompak, tetap jaya",layanan
