complaint,category,cleaned_complaint,no_stopwords,stemmed_complaint,numbered_category
pengelolaan air yang baik akan membantu mencegah bencana banjir dan kekeringan gerakanlawanjudionline,polusi,pengelolaan air yang baik akan membantu mencegah bencana banjir dan kekeringan gerakanlawanjudionline,"['pengelolaan', 'air', 'membantu', 'mencegah', 'bencana', 'banjir', 'kekeringan', 'gerakanlawanjudionline']",kelola air bantu cegah bencana banjir kering gerakanlawanjudionline,3
elolaan air yang bagus bikin kita terhindar dari banjir pas musim hujan dan kekeringan pas musim kemarau gerakanlawanjudionline,polusi,elolaan air yang bagus bikin kita terhindar dari banjir pas musim hujan dan kekeringan pas musim kemarau gerakanlawanjudionline,"['elolaan', 'air', 'bagus', 'bikin', 'terhindar', 'banjir', 'pas', 'musim', 'hujan', 'kekeringan', 'pas', 'musim', 'kemarau', 'gerakanlawanjudionline']",elolaan air bagus bikin hindar banjir pas musim hujan kering pas musim kemarau gerakanlawanjudionline,3
pengelolaan air yang baik akan melindungi kita dari banjir dan kekeringan gerakanlawanjudionline,polusi,pengelolaan air yang baik akan melindungi kita dari banjir dan kekeringan gerakanlawanjudionline,"['pengelolaan', 'air', 'melindungi', 'banjir', 'kekeringan', 'gerakanlawanjudionline']",kelola air lindung banjir kering gerakanlawanjudionline,3
pengelolaan air yang oke banget bakal bikin kita bebas dari banjir dan kekeringan gerakanlawanjudionline,polusi,pengelolaan air yang oke banget bakal bikin kita bebas dari banjir dan kekeringan gerakanlawanjudionline,"['pengelolaan', 'air', 'oke', 'banget', 'bikin', 'bebas', 'banjir', 'kekeringan', 'gerakanlawanjudionline']",kelola air oke banget bikin bebas banjir kering gerakanlawanjudionline,3
tata kelola air yang baik bakal cegah banjir dan kekeringan keren kan gerakanlawanjudionline,polusi,tata kelola air yang baik bakal cegah banjir dan kekeringan keren kan gerakanlawanjudionline,"['tata', 'kelola', 'air', 'cegah', 'banjir', 'kekeringan', 'keren', 'gerakanlawanjudionline']",tata kelola air cegah banjir kering keren gerakanlawanjudionline,3
seketika tumbuhan dilanda kekeringan di musim hujan,kekeringan,seketika tumbuhan dilanda kekeringan di musim hujan,"['tumbuhan', 'dilanda', 'kekeringan', 'musim', 'hujan']",tumbuh landa kering musim hujan,2
oh menyalahkan hujan dosa lho nanti tidak diberi hujan lagi sama allah dilanda kemarau panjang kekeringan mau,kekeringan,oh menyalahkan hujan dosa lho nanti tidak diberi hujan lagi sama allah dilanda kemarau panjang kekeringan mau,"['oh', 'menyalahkan', 'hujan', 'dosa', 'lho', 'hujan', 'allah', 'dilanda', 'kemarau', 'kekeringan']",oh salah hujan dosa lho hujan allah landa kemarau kering,2
melembapkan kulit kulit yang lembap dan terhidrasi merupakan salah satu kunci untuk menjaga kesehatan dan kecantikan kulit minyak kemiri bakar memiliki sifat emolien yang dapat membantu melembapkan kulit dan mencegah kekeringan menutrisi kulitminyak kemiri bakar mengandung,kekeringan,melembapkan kulit kulit yang lembap dan terhidrasi merupakan salah satu kunci untuk menjaga kesehatan dan kecantikan kulit minyak kemiri bakar memiliki sifat emolien yang dapat membantu melembapkan kulit dan mencegah kekeringan menutrisi kulitminyak kemiri bakar mengandung,"['melembapkan', 'kulit', 'kulit', 'lembap', 'terhidrasi', 'salah', 'kunci', 'menjaga', 'kesehatan', 'kecantikan', 'kulit', 'minyak', 'kemiri', 'bakar', 'memiliki', 'sifat', 'emolien', 'membantu', 'melembapkan', 'kulit', 'mencegah', 'kekeringan', 'menutrisi', 'kulitminyak', 'kemiri', 'bakar', 'mengandung']",lembap kulit kulit lembap hidrasi salah kunci jaga sehat cantik kulit minyak kemiri bakar milik sifat emolien bantu lembap kulit cegah kering nutrisi kulitminyak kemiri bakar kandung,2
ehem sebenarnya diriku rutin beli esp tiap bulan tapi kalau lebih dari itu dompetku kekeringan,kekeringan,ehem sebenarnya diriku rutin beli esp tiap bulan tapi kalau lebih dari itu dompetku kekeringan,"['ehem', 'diriku', 'rutin', 'beli', 'esp', 'dompetku', 'kekeringan']",ehem diri rutin beli esp dompet kering,2
bantul masih siaga darurat kekeringan meski november masuk musim hujan,kekeringan,bantul masih siaga darurat kekeringan meski november masuk musim hujan,"['bantul', 'siaga', 'darurat', 'kekeringan', 'november', 'masuk', 'musim', 'hujan']",bantul siaga darurat kering november masuk musim hujan,2
pemerintah harus memperkuat komitmen dan tanggung jawabnya untuk menghentikan menurunkan laju deforestasi dengan alasan apapun sebab risikonya sangat besar yaitu berbagai bencana alam seperti tanah longsor banjir kekeringan erosi lahan serta,lingkungan,pemerintah harus memperkuat komitmen dan tanggung jawabnya untuk menghentikan menurunkan laju deforestasi dengan alasan apapun sebab risikonya sangat besar yaitu berbagai bencana alam seperti tanah longsor banjir kekeringan erosi lahan serta,"['pemerintah', 'memperkuat', 'komitmen', 'tanggung', 'menghentikan', 'menurunkan', 'laju', 'deforestasi', 'alasan', 'apapun', 'risikonya', 'bencana', 'alam', 'tanah', 'longsor', 'banjir', 'kekeringan', 'erosi', 'lahan']",perintah kuat komitmen tanggung henti turun laju deforestasi alas apa risiko bencana alam tanah longsor banjir kering erosi lahan,0
terus ada gaksi hubungannya sama kita ada dong ketika pohonpohon bisa saling membantu dan melindungi seluruh ekosistem hutan jadi lebih kuat dan tahan terhadap ancaman seperti hama kekeringan atau kebakaran hutan siapdarling,kekeringan,terus ada gaksi hubungannya sama kita ada dong ketika pohonpohon bisa saling membantu dan melindungi seluruh ekosistem hutan jadi lebih kuat dan tahan terhadap ancaman seperti hama kekeringan atau kebakaran hutan siapdarling,"['gaksi', 'hubungannya', 'pohonpohon', 'membantu', 'melindungi', 'ekosistem', 'hutan', 'kuat', 'tahan', 'ancaman', 'hama', 'kekeringan', 'kebakaran', 'hutan', 'siapdarling']",gaksi hubung pohonpohon bantu lindung ekosistem hutan kuat tahan ancam hama kering bakar hutan siapdarling,2
peringatan dini bmkg waspada kekeringan dan karhutla di beberapa wilayah indonesia,kekeringan,peringatan dini bmkg waspada kekeringan dan karhutla di beberapa wilayah indonesia,"['peringatan', 'bmkg', 'waspada', 'kekeringan', 'karhutla', 'wilayah', 'indonesia']",ingat bmkg waspada kering karhutla wilayah indonesia,2
dunia akhirakhir ini sibuk banget ya mulai dari kekeringan amazon hujan salju di arab banjir besar di spanyol hilangnya salju di gunung fuji dan masih banyak lagi fenomena akibat cuaca ekstrem yang melanda,kekeringan,dunia akhirakhir ini sibuk banget ya mulai dari kekeringan amazon hujan salju di arab banjir besar di spanyol hilangnya salju di gunung fuji dan masih banyak lagi fenomena akibat cuaca ekstrem yang melanda,"['dunia', 'akhirakhir', 'sibuk', 'banget', 'ya', 'kekeringan', 'amazon', 'hujan', 'salju', 'arab', 'banjir', 'spanyol', 'hilangnya', 'salju', 'gunung', 'fuji', 'fenomena', 'akibat', 'cuaca', 'ekstrem', 'melanda']",dunia akhirakhir sibuk banget ya kering amazon hujan salju arab banjir spanyol hilang salju gunung fuji fenomena akibat cuaca ekstrem landa,2
penjelasan dilanjutkan gadis itu aldev kembali memperhatikan dengan seksama seraya jemarinya menorehkan tinta di catatannya kekeringan tenggorokan gadis itu melanda sehingga menjeda penjelasannya aldev yang merasa lapar berbinar cerah ketika kudapan tersedia di lacinya,kekeringan,penjelasan dilanjutkan gadis itu aldev kembali memperhatikan dengan seksama seraya jemarinya menorehkan tinta di catatannya kekeringan tenggorokan gadis itu melanda sehingga menjeda penjelasannya aldev yang merasa lapar berbinar cerah ketika kudapan tersedia di lacinya,"['penjelasan', 'dilanjutkan', 'gadis', 'aldev', 'memperhatikan', 'seksama', 'seraya', 'jemarinya', 'menorehkan', 'tinta', 'catatannya', 'kekeringan', 'tenggorokan', 'gadis', 'melanda', 'menjeda', 'penjelasannya', 'aldev', 'lapar', 'berbinar', 'cerah', 'kudapan', 'tersedia', 'lacinya']",jelas lanjut gadis aldev perhati seksama seraya jemari toreh tinta catat kering tenggorok gadis landa jeda jelas aldev lapar binar cerah kudap sedia laci,2
kantor imigrasi sumbawa memberikan bantuan berupa air bersih kepada desa marga karya desa mokong dan desa maman untuk membantu masyarakat yang terdampak kekeringan,polusi,kantor imigrasi sumbawa memberikan bantuan berupa air bersih kepada desa marga karya desa mokong dan desa maman untuk membantu masyarakat yang terdampak kekeringan,"['kantor', 'imigrasi', 'sumbawa', 'bantuan', 'air', 'bersih', 'desa', 'marga', 'karya', 'desa', 'mokong', 'desa', 'maman', 'membantu', 'masyarakat', 'terdampak', 'kekeringan']",kantor imigrasi sumbawa bantu air bersih desa marga karya desa mokong desa maman bantu masyarakat dampak kering,3
nunggu fanmeeting mereka lama bangett aku dah kekeringan ini kgn bgt ama merekaa,kekeringan,nunggu fanmeeting mereka lama bangett aku dah kekeringan ini kgn bgt ama merekaa,"['nunggu', 'fanmeeting', 'bangett', 'dah', 'kekeringan', 'kgn', 'bgt', 'ama', 'merekaa']",nunggu fanmeeting bangett dah kering kgn bgt ama merekaa,2
biar berkah dah bang hujan nya soalnya banyak yg pada kekeringan,kekeringan,biar berkah dah bang hujan nya soalnya banyak yg pada kekeringan,"['biar', 'berkah', 'dah', 'bang', 'hujan', 'nya', 'yg', 'kekeringan']",biar berkah dah bang hujan nya yg kering,2
bpbd kabupaten magetan mengehntikan penyaluran bantuan air bersih di desa kuwon kecamatan karas yang terdampak kekeringan,polusi,bpbd kabupaten magetan mengehntikan penyaluran bantuan air bersih di desa kuwon kecamatan karas yang terdampak kekeringan,"['bpbd', 'kabupaten', 'magetan', 'mengehntikan', 'penyaluran', 'bantuan', 'air', 'bersih', 'desa', 'kuwon', 'kecamatan', 'karas', 'terdampak', 'kekeringan']",bpbd kabupaten magetan mengehntikan salur bantu air bersih desa won camat karas dampak kering,3
potret polisi sukoharjo jajaran sat samapta salurkan bantuan air bersih untuk warga terdampak kekeringan kekurangan air bersih diwilayah kecamatan tawangsari seduluran saklawase patrolidialogis polisisukoharjo polrihadir polisihadir,polusi,potret polisi sukoharjo jajaran sat samapta salurkan bantuan air bersih untuk warga terdampak kekeringan kekurangan air bersih diwilayah kecamatan tawangsari seduluran saklawase patrolidialogis polisisukoharjo polrihadir polisihadir,"['potret', 'polisi', 'sukoharjo', 'jajaran', 'sat', 'samapta', 'salurkan', 'bantuan', 'air', 'bersih', 'warga', 'terdampak', 'kekeringan', 'kekurangan', 'air', 'bersih', 'diwilayah', 'kecamatan', 'tawangsari', 'seduluran', 'saklawase', 'patrolidialogis', 'polisisukoharjo', 'polrihadir', 'polisihadir']",potret polisi sukoharjo jajar sat samapta salur bantu air bersih warga dampak kering kurang air bersih wilayah camat tawangsari dulur saklawase patrolidialogis polisisukoharjo polrihadir polisihadir,3
pembangunan cek dam dinilai bisa jadi solusi permanen atasi kekeringan,kekeringan,pembangunan cek dam dinilai bisa jadi solusi permanen atasi kekeringan,"['pembangunan', 'cek', 'dam', 'dinilai', 'solusi', 'permanen', 'atasi', 'kekeringan']",bangun cek dam nilai solusi permanen atas kering,2
manusia kadang suka aneh ya panas ngeluh minta hujan giliran dikasih hujan besar biar gak kepanasan ya juga ngeluh terus mau kalian apa tinggal disyukuri aja nikmat tuhan kok susah banget kekeringan terus jga ngeluh hujan terus juga ngeluh mati aja kau babi,kekeringan,manusia kadang suka aneh ya panas ngeluh minta hujan giliran dikasih hujan besar biar gak kepanasan ya juga ngeluh terus mau kalian apa tinggal disyukuri aja nikmat tuhan kok susah banget kekeringan terus jga ngeluh hujan terus juga ngeluh mati aja kau babi,"['manusia', 'kadang', 'suka', 'aneh', 'ya', 'panas', 'ngeluh', 'hujan', 'giliran', 'dikasih', 'hujan', 'biar', 'gak', 'kepanasan', 'ya', 'ngeluh', 'tinggal', 'disyukuri', 'aja', 'nikmat', 'tuhan', 'susah', 'banget', 'kekeringan', 'jga', 'ngeluh', 'hujan', 'ngeluh', 'mati', 'aja', 'kau', 'babi']",manusia kadang suka aneh ya panas ngeluh hujan gilir kasih hujan biar gak panas ya ngeluh tinggal syukur aja nikmat tuhan susah banget kering jga ngeluh hujan ngeluh mati aja kau babi,2
status darurat kekeringan di kabuoaten ponorogo sudah dicabut namun bpbd setempat masih menyalurkan bantuan air bersih,polusi,status darurat kekeringan di kabuoaten ponorogo sudah dicabut namun bpbd setempat masih menyalurkan bantuan air bersih,"['status', 'darurat', 'kekeringan', 'kabuoaten', 'ponorogo', 'dicabut', 'bpbd', 'menyalurkan', 'bantuan', 'air', 'bersih']",status darurat kering kabuoaten ponorogo cabut bpbd salur bantu air bersih,3
badan penanggulangan bencana daerah bpbd kabupaten rembang jawa tengah berupaya menemukan solusi permanen untuk mengatasi bencana kekeringan bantuan droping air bersih dinilai hanya memberikan solusi sementara bagi masyarakat yang terdampak,polusi,badan penanggulangan bencana daerah bpbd kabupaten rembang jawa tengah berupaya menemukan solusi permanen untuk mengatasi bencana kekeringan bantuan droping air bersih dinilai hanya memberikan solusi sementara bagi masyarakat yang terdampak,"['badan', 'penanggulangan', 'bencana', 'daerah', 'bpbd', 'kabupaten', 'rembang', 'jawa', 'berupaya', 'menemukan', 'solusi', 'permanen', 'mengatasi', 'bencana', 'kekeringan', 'bantuan', 'droping', 'air', 'bersih', 'dinilai', 'solusi', 'masyarakat', 'terdampak']",badan tanggulang bencana daerah bpbd kabupaten rembang jawa upaya temu solusi permanen atas bencana kering bantu droping air bersih nilai solusi masyarakat dampak,3
dukung penuh satgas air untuk membantu masyarakat yang terdampak kekeringan semoga ini jadi solusi jangka panjang,polusi,dukung penuh satgas air untuk membantu masyarakat yang terdampak kekeringan semoga ini jadi solusi jangka panjang,"['dukung', 'penuh', 'satgas', 'air', 'membantu', 'masyarakat', 'terdampak', 'kekeringan', 'semoga', 'solusi', 'jangka']",dukung penuh satgas air bantu masyarakat dampak kering moga solusi jangka,3
badan penanggulangan bencana daerah bpbd kabupaten rembang jawa tengah berupaya menemukan solusi permanen untuk mengatasi bencana kekeringan,kekeringan,badan penanggulangan bencana daerah bpbd kabupaten rembang jawa tengah berupaya menemukan solusi permanen untuk mengatasi bencana kekeringan,"['badan', 'penanggulangan', 'bencana', 'daerah', 'bpbd', 'kabupaten', 'rembang', 'jawa', 'berupaya', 'menemukan', 'solusi', 'permanen', 'mengatasi', 'bencana', 'kekeringan']",badan tanggulang bencana daerah bpbd kabupaten rembang jawa upaya temu solusi permanen atas bencana kering,2
akibat kekeringan moment keknya kocak banget mereka tuh,kekeringan,akibat kekeringan moment keknya kocak banget mereka tuh,"['akibat', 'kekeringan', 'moment', 'keknya', 'kocak', 'banget', 'tuh']",akibat kering moment kek kocak banget tuh,2
jawa barat udah hujan bagian solo sampe ujung timur masih kekeringan,kekeringan,jawa barat udah hujan bagian solo sampe ujung timur masih kekeringan,"['jawa', 'barat', 'udah', 'hujan', 'solo', 'sampe', 'ujung', 'timur', 'kekeringan']",jawa barat udah hujan solo sampe ujung timur kering,2
alhamdullah rezeki hujan setelah kekeringan panjang,kekeringan,alhamdullah rezeki hujan setelah kekeringan panjang,"['alhamdullah', 'rezeki', 'hujan', 'kekeringan']",alhamdullah rezeki hujan kering,2
