complaint,is_complaint
Banyak orang mungkin sudah lupa dengan siklus air pelajaran SD ketika udara semakin panas air menguap Udara menahan lebih banyak uap air Di satu sisi penguapan terjadi lebih banyak dari biasa kekeringan di ujung lain hujan dengan intensitas lebih besar dari biasanya banjir bandang,1
Ribuan hektare sawah alami puso akibat banjir dan kekeringan harian,1
Dropping air bersih ke wilayah terdampak kekeringan masih terus dilakukan BPBD Ponorogo kendati saat ini sudah masuk musim hujan,1
Badan Penanggulangan Bencana Daerah BPBD Kabupaten Rembang terus melakukan distribusi air bersih di sejumlah wilayah yang terdampak kekeringan bahkan menjelang musim penghujan,1
Menuju peralihan musim penghujan BPBD Kabupaten Pasuruan mulai mengurangi intensitas pengiriman air bersih ke sejumlah desa terdampak kekeringan,1
Kondisi kekeringan di Kowang bukan tak diketahui para pemangku kebijakan Partai dan elite politik datang berbondong bondong membantu warga tapi tentu hanya terjadi ketika menjelang Pemilu,1
Tak perlu menunggu kemarau untuk mengalami kesulitan sumber air Di waktu waktu lain kekeringan juga terasa Jika kemarau tiba Yasman Suramin dan warga Kowang mengandalkan bantuan air,1
Air punya peranan penting dalam MV TXT yang mana sering kebakaran dan dari konsep TNC berubah menjadi konsep kekeringan gurun Anggap air ini adalah penyelamat yang memadamkan api dan menjadi sumber kehidupan di gurun sama seperti peran Girl of Eternity,1
Jakarta Ketua DPR RI Puan Maharani meminta pemerintah memikirkan solusi jangka panjang untuk mengatasi kekeringan di sejumlah wilayah di Lombok Nusa Tenggara Barat NTB seperti Bima Dompu Sumbawa dan Lombok,1
BPBD Bantul menetapkan siaga bencana hidrometeorologi bersamaan dengan status siaga kekeringan,1
Emang jalur sepeda itu masih berguna Bukannya itu yang bikin jalanan tambah macet juga,1
Jalan yang diatur sama polisi kok jadi bikin macet deh padahal kalau nggak diatur polisi lancar aja,1
Proyek ini kapan selesainya Menyebabkan macet di jalan Sunda yang sebelah kiri baru selesai sekitar seminggu yang lalu kemudian ditutup hanya alakadarnya dengan semen Hari ini sudah digali lagi di sebelah kanannya Kenapa nggak sekalian digali sih,1
Buat orang yang mobilitasnya ke Semangkudus kalau lewat sini pagi pasti terganggu karena macet dan banjir rob pula Motor karatan semua kalau nggak langsung dicuci,1
Pertanyaannya apakah Jawa Barat sudah terbebas dari yang namanya macet sehingga mau mensolusikan macet di Jakarta,1
Kaya underpass Ngurah Rai pas macet karena pom bensin,1
Parameter ugal ugalannya gimana dulu Kalau jalanan macet masa iya masih ugal ugalan,1
Giliran pergi cepat malah nggak macet kontol lah jalanan Ubud ini,1
Di Bali kalau nemu jalan tembus yang sepi dan nggak macet terus lebih cepat rasanya lebih bahagia daripada nemu uang Tapi kalau nemu duitnya segepok senang juga sih,1
Dugaan saya gini itu jalan macet mobil hitam minggir tapi masih kurang minggir Jadi BMW tadi nggak nyalipnya nanggung akhirnya dia maksa Kebetulan sisi lawan arah juga macet Tau sendiri kan kalau jalan macet dan banyak motor kayak gimana,1
Yang paling gue benci tuh pertigaan Rumah Sakit Annisa perempatan Starbucks Jatiuwung coook Tiap sore macet mulu Pak ogahnya kocak juga nggak bisa atur jalan malah bikin nambah macet,1
Guru kita bisa mengatasi macet dengan fisika sebenarnya Gimana Pak Guru Lihat dulu penyebab terjadinya macet misalnya macet karena lampu merah tinggal buang saja lampu merahnya,1
Senang sama diri sendiri yang kalau mau pergi kemana mana selalu cek cuaca walau kadang meleset Kondisi jalan macet apa nggak atau CCTV tol yang bisa diakses Soalnya kalau nggak cek itu sebelum jalan suka cemas berlebihan,1
Capek banget ya wisuda aja kudu bolak balik naik pesawat berjam jam Biasanya wisuda tinggal pesan taksi brem brem kena macet dikit ya satu setengah jam aja sampai Terus ini napa di Changi ada croissant terbang dah,1
Solusi macet ya pulangkan RK ke Bandung karena bisa bisa program malah bikin tambah macet,1
Pensiun kok di Bali bro Cari masalah namanya macet banyak sampah banyak orang stress,1
Gerimis oke lah kalau hujan lebat ini agak repot Rumah rembes jalanan banjir kendaraan mogok macet nuntun,1
Udah semingguan ini depan rumah macet parah gara gara ada proyek resapan air Gila aja macetnya dari perlimaan ring road sampai Tumini,1
Suasananya emang enak sih Yang nggak enak macet sekitar situ Wkwkwk Pernah lewat pas peak season mau menuju Semarang,1
Juanda Margonda macet banget anjing gue tabrak juga nih Atu atu,1
Paling sebel kalau lagi macet orang pada klakson klakson kayak ini kan macet lampu merah ya lu mau klakson sejuta kali juga nggak jalan orang belum ijo lampunya kalau mau cepat mah naik aja,1
Salahnya kenapa BMW nyalip mobil Kia kalau dia sabar di belakang mobil Kia nggak bakal gitu kan yang bikin macet pasti BMW yang mau nyalip mobil Kia hitam itu macet sampai mau lampu merah kan,1
Yayaya jalan Magelang macet parah karena perbaikan pipa pas di perempatan selokan telat ngantor potong uang makan tapi dah pasrah,1
Kerja di lokasi pusat macet dan harus berhadapan dengan Manggarai,1
Lewat Yonif aja bang walaupun jalannya brag brig breg wkwkwk,1
Cidomba macet parah pas Selasa tuh wkwk,1
Keujanan kalau harus kerja jadi take time karena perlu pakai jas hujan dan hal lain yang diperlukan kena macet kalau naik motor pas abis ujannya becek banjir rumah bocor sinyal hilang,1
Kronologinya kurang tahu soalnya pas nyokap lewat udah dalam keadaan begitu dan macet panjang,1
Pagi ini jalanan dari rumah ke tempat kerja macet dunia akhirat ekonomi sudah mulai pulih kah,1
Bandung WE beres jenuk kang preman jenuk kang palak jenuk kang parkir liar geng motor parah jalanan kota macet parah jalanan di Palemburan rusak itu urus KMO memimpin Jakarta beki ancur atuh,1
Yang tolol dari RK ya begini mau maju di Pilgub Jakarta tapi nggak punya track record pengendalian transportasi Bodebek dengan Jakarta mentok di tol ya tetap macet lah,1
Bekasi B nya banke ora ada solusi nya pisan macet teh polantas cuman ngopi doang di pinggir jalan ora ada pisan tuh ngatur lalin,1
Wkwkwkkw wes macet wong wong an̩ lek ngegas ra ndelok kanan kiri dadine kecipratan,1
Kurang berminat soale kalau pengiriman darat begini rawan kena macet di perempatan lampu merah dan berujung nyangkut di DC Cakung mending via udara pakai Merpati Pos tapi minusnya harus dikasih makan dulu baru dia mau kerja,1
Biar ngerasain macet juga nggak apa-apa ak yang anterin tiap adek mau sekolah,1
Nggak semua masuk biceking misal ada macet di situ bisa cek ke OJK masuk atau nggak pinjol pun ada yang masuk ada yang nggak kita sendiri yang harus rajin ngecek di OJK bisa bawa KTP aja,1
TB Simatupang mana yang nggak macet anjg pagi pagi udah chaos macetnya,1
Macet parah di Katamso karena ada lawan arus di dekat fly over arah Tanah Abang,1
Please keadilan untuk warga Bekasi please ini macet banget anjdheussbusbs nggak ngotak,1
Tim verifikasi dibutuhkan untuk memastikan pelaksanaan kebijakan pemutihan piutang macet UMKM berjalan secara tepat ekonomi adadikompas,1
Kalau nggak ada transum ya salahin pemdanya lah ini depan walikota aja nggak ada transum,1
Mau berangkat kerja naik KRL ke daerah BSD harus kendaraan pribadi OJOL tiap pagi jalan Ciater macet padahal jalannya jauh lebih lebar dari zaman dulu tapi tetap aja macet,1
Perjalanan pake jasa biro travel jam kunjungan dari spot ke spot harus sesuai jadwal kalau kondisi Yogyakarta selalu macet sebaiknya lu demo biar nggak ada kunjungan wisata rombongan ke Yogyakarta,1
Wanita ini tak sengaja merekam seorang pengamen wanita ketika sedang macet ia salfok alias salah fokus dengan paras cantik pengamen tersebut,1
Sek mbak tiwas kabeh wes tak keib mobil mewah pengawalan yen macet spesial tiket ndelok konser jebul mung dianggep konco tok iki yowes rapopo mbak aku ikhlas,1
Iyaah kalau nggak macet mah tinggal di Klaten aja yak,1
Mana KTS mu yang di Pondok Rulang itu perlu pakai patwal soalnya Wonokromo macet,1
Gush ke Jogja gw nggak mau kota kelahiran gw macet terus jadi kota polusi,1
Info Ciledug Tangsel di depan halte Petukangan Utara samping Budi Luhur ada kebakaran macet parah sekarang karena lagi proses pemadaman,1
Kalau Senayan lagi ada Jakarta itu kan tapi masa sampai Petojo juga macet anjir,1
Maaf kak kurang tahu juga soalnya aku pas turun dari busway udah macet parah banyak pemadam nggak taunya udah ludes aja itu ruko yang depan,1
Yeaaayyy ikut senenggg seneng tapi langsung capek karena lihat jalanan macet,1
Makasih Bandung udah nggak hujan dan macet hari ini jadi aku dan Abe bisa kesana kemari super duper happy hari ini ditutup dengan segelas matcha dan Thai tea yang seperti dejek vs bonek,1
Beh sik rapi kui reneo nang Sumatra byohh wis macet barisane pating mecotot mentolo tak bom,1
Aku punya nih yang ecentio awalnya sih aman aman aja yaa tapi sekarang udah mulai macet macet nggak mau hidup padahal udah di charge semaleman wkwk,1
Aku sama Denisa juga planning to go there tp agak takut macet dan susah pulang si hufttt ajarn ku bilang sih klo nggak Chao Phraya bisa ke Lumpini Park,1
Katanya daur hidup akan selalu berputar lagi macet kali ya lama banget macetnya,1
Rajamangala gede beut hahaha kalau bisa pilih standing sih karena worth it tapi harus pagian ya biar bisa di depan make sure untuk pergi kesananya naik grab bike ya karena macet pol,1
Aku nonton Bruno Mars jadi agak mepet jam mulai karena macet parah,1
Belum diijinin bawa sampai kampus atau malah parkiran sekitar situ ribet ya mungkin masih dapet macet juga sih kalau misal bawa tapi ya ngurangin waktu nunggu pesan taksol kalau kejadian kek gitu christory,1
Halo aye maaf telat baru datang tadi Jaklingkonnya kena macet dikit boleh banget dong aku izin follow duluan yaah,1
Hpku nih masih lancar aja nggak macet minus memori full mulu aja,1
Kalimalang knya kontol macet amat iatadi akh berangkat sejam sendiri,1
Masalahnya gara gara lu itu macet gila motor dari dua arah numpuk gabisa lewat terus harus pada minggir mentok bikin satu baris sampe parkir dulu di ruko pinggir jalan cuma biar lu bisa lewat eh kocak jalanan bukan punya lu belum lagi kalau mobil sama mobil papasan dari dua arah,1
Enih manusia perasaan macet mulu yang dibahas lo tinggal di mana sikhh ditengah jalan ya,1
Gapapa akan aku terjang macet itu demi ke Kuroo bday,1
Giliran mobil mewah lawan arah di jalan sempit dengan marka putus karena posisinya macet banyak yang belain loh netizennya tapi kendaraan besar yang lawan arah saat macet malah dihujat wkwkwk kontol emang,1
Giliran mobil mewah lawan arah di jalan sempit dengan marka putus karena posisinya macet banyak yang belain tapi kendaraan besar yang lawan arah saat macet malah dihujat wkwkwk,1
Alhamdulillah hari ini nggak macet tapi tenggorokan sakit,1
Pengen tidur di kereta tapi udah nggak mood gara gara macet tadi padahal baru deep keramas sampai sejam udah nggak karuan lagi rambut tau ah keramas Jumat aja,1
Banjir jalan Nusantara bikin macet dan motor mogok banjir,1
Salah satu jalan tembusan keluar dari arah rumah keknya dia nyelak dari bawah lawan arah karena di situ macet mulupas nyelak dari lawan arah pada masuk mobil jadi dia mau masuk barisan lagi,1
Jalanan di Jakarta Kelapa Dua Tambun Nagreg dan Bekasi semuanya nggak ada yang lancar semua macet,1
Baru kali ini ngerasain macet parah bareng Lexi LX pegel cuk,1
Emang dekat stasiun macet parah sih kalau jam jam balik kerja mana suami aku baliknya selalu bersamaan penumpang kerja,1
Macet banget hari ini bjir,1
telepon tidak pernah diangkat sehingga masyarakat yang memerlukan informasi dan pelayanan cepat melalui telepon kecewa,1
usahakan truk sampah untuk wilayah komdik ketika sampah yang ada di perumahan komdik diambil jangan libur panjang nanti saya tagih uang bulanannya cepat tapi sudah waktunya minta,1
pelayanannya buruk saya datang setelah jam makan siang ibu yang piket bilang masih istirahat wkwkwk untung bapak disebelahnya negur mana si ibu minta maafnya asal asalan udah gitu dilayaninnya kek ogah ogahan tipikal pelayanan publik yang pake bpjs pada umumnya,1
maaf sebelumnya mau tanya apakah dinas lingkungan hidup itu hanya mengurus sampah saja atau laporan lainya seperti polusi udara dan irigasi tercemar limbah soalnya saya hanya masyarakat kecil yang menderita dengan limbah buangan lewat saluran air dan udara setiap hari dari tetangga yang mendaur ulang bekas plastik kimia kepada siapakah saya harus mengadu karena saya berhak hidup sehat terima kasih,1
mobil sampah tolong dong kasih lampu rem di lampu sen karena kalau belok seenaknya aja karena sangat membahayakan pengendara lain dan sopirnya kalau menjalankannya selalu ungal ungalan jangan mentang mentang nomornya plat merah di jalan raya seenaknya aja tolong ditindak jangan diam aja pak,1
petugas angkut sampah area kantor imigrasi etika terhadap orang lain sangat tidak sopan ketika ingin mengangkut sampah yang mana keadaannya sedang tertutup mobil yang parkir mohon ditindak sopir dan kernetnya truk sampah ini,1
bisakah saya meminta bantuan ke dinas lingkungan untuk saya bisa menerima pasokan sampah untuk budidaya maggot yang saya ingin dirikan,1
lingkungan indah bersih dan nyaman bagi pengendara di jalan itu indah dan di jalan proklamasi ada pohon yang mau tumbang,1
mohon maaf saya tinggal di kampung gaga larangan samping rumah saya tanah kosong tetangga saya pada buang sampahnya di samping rumah saya udara di dalam rumah saya sudah bau sekali tolong diberi penyuluhan atau ditindak lanjuti keluhan saya terima kasih,1
satpam nya jutek dan tidak punya sopan santun saya sarankan pecat aja yang model begitu,1
assalamulaikum pak saya mau tanya kalau limbah batu bara dibuang di sekitar perkampungan apa berbahaya tidak,1
dicueki dong sama satpamnya gak guna banget cuman nongkorong nongkrong doang kerjanya,1
semoga cilegon bisa menjadi kota yang bersih kedepan masih banyak hal yang perlu dibenahi seperti stock pile di depan perumahan tci yang debunya tentunya akan sangat berbahaya bagi penghuni perumahan tersebut,1
tolong berhentikan mobil mobil monster yang berlalu lalang di jalan desa sentul curug bonteng sangat mengganggu pengguna jalan lainnya lagi musim panas debunya lagi musim hujan jalan licin di mohon untuk dinas lingkungan hidup tolong diberhentikan apalagi sekarang limbah limbah sampah di buang kesini,1
untuk penanganan sampah kurang bagus cenderung masyarakat buang sampah sembarangan karna minimnya tempat yang disediakan untuk buang sampah,1
untuk dinas lingkungan hidup kota serang tolong ditindak lanjuti masalah tambang pasir karena sungai cidanaw keruh,1
hallo dlh tangsel untuk toko kami kealingan pohon besar pinggir jalan dan sudah menjuntai sampai kejalan sampai terkena kabel besar juga mohon untuk segera dilakukan penebangan pohonnya agar tidak terkena kabel dan toko kami dapat terlihat lebih jelas tolong segera dapat dieksekusi secepatnya terima kasih,1
tolong disediakan bak sampah di area pondok cabe seperti bak sampah yang disediakan di kemanggisan belakang pasar ciputat demi memudahkan masyarakat membuang sampah pada tempatnya kadang beberapa warga kasian berat biaya iuran sampah bulanan,1
tolong diurus dong pegawai yang koruptif maen ada masyarakat komplain banyak pemungut dan pembakar sampah ilegal yang ketika kami protes ke dlh nya pegawainya malah nawarin pemungut sampah dari dia ketika kami tanya ke pemungut sampah di sekitar kami kenapa gak kerja sama dlh jawabannha punglinya terlalu besar jadi gak untung tolong dong diurus tangsel ini polusi tertinggi di indonesia disebabkan oknum bakar sampah sembarangan masa gak malu,1
wilayah perbatasan warga dengan pihak palm bintaro bermasalah dengan penutupan saluran air tolong dibantu karena akan berakibat fatal jika terjadi banjir secara terus menerus,1
pak tolong di daerah pondok aren parigi tetangga sebelah sangat menganggu karna pembakaran sampah yang terus terusan mengakibatkan pencemaran polusi yang sangat parah susah bernapas batuk dan tenggorokan kering tolong dtidak lanjuti karna tidak ada udara bersih yang bisa dihirup,1
pejabat nya tidak profesional tiap dateng gak pernah ada pelayan masyarakat kok begitu kerjanya cuma ngobrolngerokokngopi dan berak doang akhir bukan minta gaji,1
dinsos tangsel pelayanan baik dan ramah pastinya ga pake pungli beda dengan keluarahan banyak pungli nya,1
mohon ditegur operator penyedot toilet yang membuang fesesnya ke lubang di jalan air jlan victor bsd,1
akibat limbah pengolahan pabrik susu di jl raya lembang sangat sangat mengganggu warga sekitar semoga dinas lingkungan hidup kbb bisa turun tangan nih terima kasih,1
sudah laporan berkali kali mulai dari email dan laporan warga ke kecamatan terkait bau busuk di belakang komplek yang sudah lama gak pagi gak siang gak malam pingin muntah tapi belum ada tindakan tegas nyata terhadap aduan ini hanya kunjungan dan ultimatum pada pabrik pengolahan buku ayam nya coba kalo petugas dlhk yang menghirup udara busuk tiap hari gimana tolong dong pak kami sangat tunggu tindakan tegas nya terima kasih,1
tolong ini sampah di soreang kok banyak banget ya di polres banyak pinggir jalan di jalan raya juga banyak ada beberapa titik tempat gimana nih solusinya mohon untuk diangkut dan kasih sosialisasi nya ke warga tolol yang buang sampah sembarangan,1
maaf saya belum bisa kasih bintang lebih pelayanan di bagian reusepionis nya gak ramah jutek mau minta tanda terima laporan juga ribet sampai gak di kasih,1
baleendah kabupaten bandung tolong dong sampah nya banyak di biarin dah gak ke urus,1
untuk pengaduan pembakaran sampah kemana yaa saya tidak dapat informasi melalui akun instagram dlh untuk prosedur pengaduannya mohon dibantu untuk mempermudah pelaporannya ya asapnya sudah sangat mengganggu,1
sampah gak jelas di buang di tempat lain bukanya di ambil dari petugas uang tiap hari bayar,1
saya adalah orang tidak berpendidikan saya tinggal dikampung pengasinan kecamatan rawalumbu dilingkungan saya ada pabrik peleburan emas elektronik saya perhatikan pabrik itu berjalan lancar tanpa memperhatikan limbah dan dampak buat warga sekitar mohon bantuanya wahai blh kota bekasi saya menaruh harapan kepada kalian,1
masih perlu diperhatikan diawasi diperbaiki lanjutan mengenai dlh kota bekasi by lsm green comunity,1
kerja para pegawai nggak pada bener kali ya semoga kalian melihat apa yang warga rasakan itu sampah sepanjang jalan raya inspeksi kalimalang deket gardu induk pln cikarang belum dibersihkan jalan raya setu dekat lapangan hijau sebrang durian tumpah desa cibuntu jalan raya setu desa cibuntu sebrang dian lamda itu ada oknum buang sampah sembarang mohon diangkut sampah nya,1
tidak ada tindakan tegas untuk masyarakat pembakar sampah di daerah gunung sindur asapnya ke masyarakat dan dinas ini sendiri juga hirup kok bisa diem aja kenakan denda dong lumayan kan buat pemasukan negara jadi bersih udaranya,1
assalamualaikum mohon kepada dlh bogor melakukan tinjauan dan bimbingan kepada krl dan bank sampah kamiciber cicadas berseri terutama untuk bimbingan melakukan caranya membakar sampah agar ramah lingkungan yang kami lakukan memungut sampah atau membersihkan sampah yang ada berserakan di lingkungan kami kami hanya bisa membakarnya namun kami sadar hal tersebut tidak efektif dikala masih ada asap yang mencemari lingkungan walau lokasi kami aga jauh dari pemukimansebenarnaya masih ada cara untuk tidak adanya asap pada tungku pembakaran kaminamun keterbatasan biaya yang rasa kami belum bisa mewujudkannya untuk itu kami sangat membutuhkan bantuan dana alat dan bimbingan untuk penunjang hal inimohon maaf jika ada salah kata dan menyinggung terimakasih atas segala perhatiannya,1
retribusi dari penanggungjawab ke dlh lancar penarikan sampah suka suka akhirnya jadi bikin pencemaran komplain ke siapa tanya supir alesan mobil mogok lah sakit lah macet lah ada aja tiap minggunya heran deh,1
setiap lebaran petugas sampah dlh kab bogor libur sampe seminggu lebih kinerjanya parah,1
mohon ditanggapi dan bantuan dari dlh kab bogor perumahan kami di kec tonjong kel tajur halang berdekatan dengan perternakan ayam yang sering kali kami sebagai warga terdampak gangguan dari adanya kegiatan tersebut diantaranya bau yang mengganggu lalat yang banyak serta tidak adanya penanganan yang baik banyak warga yang khawatir terjadi gangguan kesehatan dari dampak tersebut mohon bantuan solusi dari dlh bagaimana kami menyampaikan keluhan sehingga dapat ditanggapi direspon sehingga gangguan yang berdampak kesehatan bagi warga sekitar tidak lagi kami rasakan sebelumnya kami ucapkan terima kasih,1
ongkos armada pengangkatan sampah nya suka ada kendala dan ongkos untuk pengangkutan supir armada suka minta naik terus sebetulnya ada patokan ongkos angkut nya ga,1
dinas lingkungan hidup dan dinas kebersihan kabupaten bogor mohon di perhatikan dan di tindak warga yang buang sampah di sepanjang aliran sungai dimulai deket pasar ciluer deket jalab raya bogor terima kasih,1
tolong untuk petugas pengangkut sampah daerah cimanggis ramah lah ditanya ga dijawab malah ngomongin hal buruk tentang sampah orang terdengar apa yang kalian obrolin ditegur malah ga direspon,1
untuk konten beritanya agar lebih update lagi karena buat kami di bawah ini bisa jadi sebuah referensi atau rujukan informasi,1
ada nomor telepon yang bisa dihubungi karena nomor telepon yang tertera tidak bisa dihubungi mohon bantuannya,1
selamat pagi yang terhotmat kepala dinas kebersihan kabupaten bogor mohon di perhatikan sampah di citereup itu sangat parah warga buang sampah di sembarang tempat sepanjang jalan dipenuhi sampah karena tidak adanya tempat pembuangan sampah mohon tindakannya untuk menertibkan terima kasih,1
pekerja dinas kebersihan kota bogor jalan jembatan merah bagian sore tidak pernah disapuin area jalan raya dan pinggir pinggir hanya dorong dorong kerobak doang tetapi tidak di sapuin tolong bantuan nya agar di tegor petugas yang bagian kota bogor jembatan merah untuk yang sore,1
assalamualaikum perkenalkan saya ketua rt apakah saya bisa mengajukan permohonan bantuan tempat sampah untuk lingkungan kami,1
mungkin truk truk sampahnya harus dicuci bersih dulu kali ya sebelum pulang ke tempat parkir,1
apakah dlh akan diam saja sampah sebanyak ini di buang ke kali cipamingkis jonggol,1
lembaga inilah yang mempunyai kewajiban memelihara dan membersihkan lingkungan hidup namun truk mereka seharusnya diparkir di tempatnya bukan di pinggir jalan,1
menurut saya dinas lingkungan hidup kota tasikmalaya harus memikirkan bagaimana mengatasi sampah yang ada di kota tasikmalaya menurut saya dindi lingkungan hidup kota tasikmalaya harus membelanjakan alat alat berat yang di butuhkan oleh dinas lingkungan hidup kota tasikmalaya dan harus mengambil keputusan yang bijak soal urusan sampah karena itu tanggung jawab semua nya,1
masih belum ada solusi untuk pembuangan sampah untuk warga cimahi area gandawijaya kebun kelapa dan sekitarnya akibatnya masih banyak yang membakar sampah membuat polusi dan tidak nyaman,1
dinas inikah yang bertanggung jawab atas keamanan saluran air di depok penutup saluran air di jalan raya bogor depan lampu merah juanda besinya sudah bolong bolong dan menyebabkan warga celaka lihat foto,1
tolong tambahkan dinas lingkungan hidup dan kebersihan dilokasi yang samakarena satu wilayah,1
dinas lingkungan hidup pemprov dki jakarta kalau ke kantor ini jangan lupa bawa tumbler karena tidak diperbolehkan membawa air dalam kemasan sekali pakai,1
tutup yah uji emisi di dinas lingkungan hidupga usah kesana lagi buat uji emisi dah ga sanggup kali terima uji emisi lagi silahkan berjuang mencari bengkel bengkel yang ada uji emisinya kesian yang udah jauh jauh sampe malah kena prank tutup uji emisinya yang sabar yah bapak bapak gojek dan lain lain mau membantu program pemerintah ya kok ribet amat yak,1
parkir luas lingkungan bersih tapi pelayanan perlu ditingkatkan agar lebih baik sehingga masyarakat dapat dilayani dengan lebih baik,1
semoga dengan jajaran yang baik jakarta semakin bisa mengendalikan sampah dan tentunya kebersihan jakarta semakin terjaga baik dalam pengelolaan sampah dan limbah yang sudah terlalu ruwet selama ini,1
nomor telepon dinas kebersihan jakarta pusat tidak bisa dihubungi tidak sepantasnya kantor dinas kebersihan tidak bisa dihubungi tidak profesional operator telpon dinas kebersihan pusat juga tidak bisa memberikan penjelasan yang baik,1
mau bertanya tanya susah tidak ada contact center nomer telepon tidak bisa dihubungi dan email pun tidak dibalas sama sekali,1
selamat sore mohon ijin untuk melaporkan keluhan ada pohon besar yang menjulang ke kabel listrik minta tolong untuk ditebang bapak alamatnya di depan tk diponegoro sebelah sungai jalan mangun jaya terima kasih,1
mohon untuk pekerja kebersihan yang masuk kampung kampung dikasih pengertian agar gak membawa karung sampah yang masih layak pakai banyak warga yang mengeluhkan hal itu karena seringnya karung sampah mereka dibawa dan kemungkinan dijadiin wadah rongsok yang mereka dapat dari sampah warga untuk perhatiannya saya ucapkan terima kasih,1
ingin konsultasi saya ada client yang ingin mebuat toko di jalan gatot subroto tapi ada kendala karena di depan tanah shm ada taman jalan yang ingin kami jadikan akses jalan masuk pertanyaan saya adalah bagaimanakah prosedur agar saya bisa membongkar taman jalan tersebut terima kasih,1
apa yang harus kami lakukan jika ada orang membuang sampah di sungai setiap hari,1
sampah di jalan diponegoro sebelah selatan prempatan danyang menumpuk berhari hari dan berbau belum diambil,1
pelayanan sangat sangat sangat buruk meminta data untuk penelitian saja tidak bisa dipersulit padahal sudah memenuhi syarat administrasi,1
pelayanan buruk pegawai tidak komunikatif saya harap kedepannya bisa diperbaiki lagi terima kasih,1
mohon untuk kejelasannya dari dinas lingkungan hidup mengenai sop pengajuan penebangan pohon sudah berkali kali melapor tapi belum ada respon atau balesan yang katanya mau dikirim balesan lewat surat,1
bagaimana kelanjutan pembayaran sewa tanah di lokasi tambak udang yang di tanah pemda,1
mohon info jadwal pengambilan sampah di daerah tegal asri ini sudah seminggu tidak diambil apa ada perubahan prosedur apa mungkin ada info yang kita tidak tau posisi tegal asri timur terima kasih,1
kalo mengadu rumah saya depan sampah pihak kelurahan di laporin gak ada tanggapan untuk aduan warga desa widoro brujul jaten karanganyar mohon tanggapannya pak,1
harapan kedepan buat dinas lingkungan hidup kendal agar lebih konsen terkait sampah terutama sampah plastik,1
tugas pokok dan fungsi dlh salah satunya ini ya pak bu pelaksanaan pembinaan pengawasan pengendalian dan pelaporan di bidang penataan dan penaatan lingkungan hidup pengelolaan sampah limbah bahan berbahaya dan beracun dan pengendalian pencemaran dan kerusakan lingkungan hidup sebelah utara kantor kepala desa sumbertrucuk tepatnya di jembatan sidodadi sepanjang jalan jadi tempat buangan sampah padahal bukan tpa mohon ditindaklanjuti terima kasih,1
seberang desa sanggung tepatnya di daerah tegalgondo di pinggir sungai jadi pembuangan sampah berdampak sangat besar bagi warga sanggung dan tidak ada izin terlebih dahulu,1
di daerah komplek pertokoan desa panjang tepatnya di depan united futsal ada pohon besar yang mau tumbang mohon secepatnya untuk ditebang supaya tidak ada korban terima kasih,1
selamat sore bapak ibu izin untuk menanyakan terkait dengan pohon jalan yang berada di depan rumah saya apakah bisa apabila dilakukan pemotongan pohon pengurangan ranting pohon secara mandiri atau saya perlu datang langsung ke kantor dlh atau mall pelayann publik kab magelang terima kasih,1
selamat siang mau lapor selokan di depan gudang sayangan muntilan ada yang rusak karena kena akar pohon jln sehingga air jadi tidak lancar karena ada yang buang air limbah ke selokan depan dari dalam rumah makasih,1
dinas lingkungan hidup kabupaten pati kira kira mau mendengarkan usulan dari masyarakat umum apa tidak ya,1
